id,titulo,prioridade,etapas,origem,lacuna_premium,adaptacao,dependencias,aceitacao,responsavel_sugerido,onda,status
APV1-11,Seleção compartilhável revogável,P1,"120,137,144,147",api/shared-selections.ts,Colaboração externa ausente; extensão proposta,Somente IDs; quantidades e variantes; token opaco e expiração,Migration própria; política de exposição,Expiração e revogação impedem leitura; token de gestão separado; nenhum contato ou texto livre público,Engenharia + produto,2,recomendado — não implementado nesta auditoria
APV1-12,Apresentação imprimível da seleção,P1,"115,120",src/pages/QuotePage.tsx,Download existe sem apresentação executiva,Documento visual com fotos; quantidades; alternativas e ressalvas,Dados e imagens aprovados,Export corresponde à seleção; sem preço fictício; dados privados não entram em link público,Design + engenharia,2,recomendado — não implementado nesta auditoria
APV1-13,Opção principal e alternativa,P2,"106,112,120,133",src/pages/QuotePage.tsx,Grupos de decisão ausentes; extensão proposta,Separar alternativa de item adicional no briefing,Receptor entende grupos; APV1-01,Somatório não conta alternativas como compra cumulativa; export e CRM preservam relação,Comercial + engenharia,2,recomendado — não implementado nesta auditoria
APV1-14,Continuidade do rascunho,P2,"114,146,147",src/lib/quoteDraft.ts,Preservação apenas em memória,Manter memória; sessão opcional só após política definida,Duração; campos; limpeza e aviso definidos,Limpeza após envio/logout/troca de titular; expiração; browser sem storage continua usável,Produto + privacidade + engenharia,3,recomendado — não implementado nesta auditoria
APV1-15,Confirmação confiável de recebimento,P0,"118,119,131,138",api/_lib/leadHandler.ts,Confirmação comercial ainda não homologada,Distinguir protocolo salvo de oportunidade entregue e atendimento,Receptor CRM e responsável aprovados,Pedido aparece uma vez no CRM com dono; resposta perdida recupera protocolo; mensagem reflete estado real,Comercial + integração,3,recomendado — não implementado nesta auditoria
APV1-16,Fila e recuperação operacional,P0,"118,139,169,170",api/notifications.ts,Conciliação e fila comercial incompletas,Outbox para integração; lease; backoff; teto; consulta antes de retry incerto,Contrato idempotente e consulta no receptor,Concorrência não duplica; 429 respeitado; timeout reconciliado; esgotamento tem dono e alerta,Integração + operações,3,recomendado — não implementado nesta auditoria
APV1-17,Webhooks e estados de confirmação,P1,"119,137,139",api/_lib/webhookSignature.ts,Status por provedor ausente,Assinatura; dedup; precedência e rastreio,Provedor escolhido e credenciais isoladas,Evento repetido ou fora de ordem não duplica nem regride estado; assinatura inválida recusada,Integração + segurança,3,recomendado — não implementado nesta auditoria
APV1-18,Portal opcional e histórico,P2,"120,137,142,145",src/lib/customerAccount.ts,Portal ausente; extensão de escopo,Consulta após e-mail confirmado; primeira solicitação sem conta,CRM; identidade; ownership e retenção,Dois usuários não veem registros entre si; troca de conta limpa dados; histórico nunca força cadastro inicial,Produto + segurança + engenharia,4,recomendado — não implementado nesta auditoria
APV1-19,Propostas privadas e versões,P2,"136,137,145",api/customer-proposals.ts,Documentos privados ausentes,Autorização atual; assinatura curta; versão e validade,APV1-18; correção V1-G03; Storage homologado,Documento de terceiro negado; URL expira; papel limitado validado no banco e Storage separadamente,Comercial + segurança + engenharia,4,recomendado — não implementado nesta auditoria
APV1-20,Ajustes e recompra,P2,"120,136,137",src/pages/CustomerQuotePage.tsx,Continuidade comercial ausente,Nova intenção a partir do histórico com revalidação,APV1-18 e estados comerciais,Item retirado explicado; quantidade atual validada; preço/prazo antigo não reaproveitado como promessa,Produto + engenharia,4,recomendado — não implementado nesta auditoria
APV1-21,Retenção e pedido de exclusão,P0,"146,147,149",api/retention.ts,Política e execução incompletas,Processo de arquivos e registros rastreável com retry,Responsável; prazos e exceções definidos,Falha ao excluir blob não declara conclusão; titular correto verificado; evidência sem conteúdo pessoal desnecessário,Operações + privacidade + engenharia,3,recomendado — não implementado nesta auditoria
APV1-22,Privilégios por capacidade,P0,"142,143,145,150",docs/RUNBOOK_SITE_API_CUTOVER.md,Revisão de permissões por fluxo incompleta,Separar catálogo; escrita; worker; leitura autenticada e Storage,Matriz de operações e schema premium,Papel indevido não lê/escreve; testes cobrem autorização negativa; corte e rollback documentados,Segurança + dados,1,recomendado — não implementado nesta auditoria
APV1-23,Testes SQL e drift em CI,P0,"130,142,150,184",.github/workflows/database.yml,Testes isolados de banco ampliáveis,Reconstrução descartável; pgTAP; concorrência; tipos e schema gerados,Ambiente local/CI isolado com guard de host,CI executa migrations do zero e nega acessos; nenhuma conexão de teste usa banco real,Dados + engenharia,1,parcial — 58 contratos pgTAP locais, simulação concorrente e CI isolada; falta CI remota e cobertura operacional completa
APV1-24,Métricas sem dados pessoais,P1,"167,170,196",src/lib/analytics.ts,Funil produtivo ainda não instrumentado,Eventos mínimos; URL redigida em todos os SDKs,Finalidade; ferramenta e política aprovadas,Captura de tráfego sintético não contém texto livre; contato; token ou protocolo; eventos de sucesso são verdadeiros,Produto + dados + privacidade,3,recomendado — não implementado nesta auditoria
APV1-25,Saúde e alertas operacionais,P0,"138,139,170,193,195",api/_lib/operationalAlerts.ts,Monitoramento real e cobertura pendentes,Fila; idade da pendência; falhas por estágio e responsável,SLA e destinatários internos definidos,Alerta simulado chega ao canal de teste; escalonamento documentado; logs não expõem PII,Operações + engenharia,3,recomendado — não implementado nesta auditoria
APV1-26,SSR e orçamento por rota,P1,"153,161,165,167",src/App.tsx,Portal futuro pode aumentar custo global,Preservar Next SSR; auth isolada na área de conta; animação mínima,Orçamento vigente e baseline por rota,HTML inicial mantém conteúdo; vitrine não baixa SDK de auth sem necessidade; gates de performance passam,Engenharia + UX,2,recomendado — não implementado nesta auditoria
APV1-27,Primeiro resultado no mobile,P1,"083,090,172,185",src/pages/CatalogPage.tsx,Risco de excesso de introdução ao ampliar catálogo,Topo compacto; filtros em painel; contagem próxima dos produtos,Conteúdo e viewport alvo,Tarefa de encontrar item melhora no piloto; zoom não corta conteúdo; ausência de overflow,UX + engenharia,2,recomendado — não implementado nesta auditoria
APV1-28,Conteúdo por intenção e ocasiões,P2,"151,154,157,158",src/pages/IdeaLandingPage.tsx,Conteúdo orgânico incompleto,Páginas úteis sobre relacionamento; reconhecimento e liderança,Direitos; autoria; catálogo; domínio,Páginas têm conteúdo próprio; canonical/SSR/sitemap corretos; nenhuma promessa de prazo automático,Conteúdo + SEO,4,recomendado — não implementado nesta auditoria
APV1-29,Governança de documentação,P1,"189,198,199,200",docs/GOVERNANCA_FECHAMENTO.md,Manter evidências atualizadas com evolução,Ligação entre requisito; código; teste; status e dono,Processo de revisão e responsáveis,Nenhum checklist fecha por arquivo existir; divergência gera ação; métricas não somam critérios incompatíveis,Produto + engenharia,1,recomendado — não implementado nesta auditoria
APV1-30,Arquivo de marca e prova final,P0,"104,105,145,150",src/lib/quoteBriefing.ts,Upload e aprovação de personalização ausentes; V1 só informa prontidão do logo,Armazenamento privado; validação; análise de arquivo; prova versionada,Técnicas; Storage; política; operação de aprovação,Arquivo inválido recusado; terceiro sem acesso; aprovação rastreável e distinta de mockup ilustrativo,Comercial + segurança + engenharia,3,recomendado — não implementado nesta auditoria
APV1-31,Staging e piloto comercial,P0,"140,180,184,187,188,192",e2e/smoke.spec.ts,Testes locais ainda não homologam operação,Cenários sintéticos completos; vendedores e compradores; rollback,CRM de teste; conteúdo; responsáveis,Selecionar; enviar; receber; atribuir; responder e reconciliar comprovados; nenhum cliente real usado em testes,Comercial + QA + operações,3,recomendado — não implementado nesta auditoria
APV1-32,Preservar idempotência premium,P0,"117,118,134,139",api/_lib/siteDatabase.ts,Risco de regressão ao reutilizar V1; premium já corrigido,Manter lookup pré-catálogo e hash da intenção; versionar novos campos,APV1-01 e contrato de reenvio,Retirada recupera protocolo; imagem alterada não conflita; quantidade alterada conflita; concorrência não duplica,Engenharia + integração,1,recomendado — não implementado nesta auditoria
