"id";"fase";"titulo";"acao";"criterio_aceite";"responsavel";"prioridade";"status";"evidencia";"dependencias";"status_anterior";"natureza";"constatacao";"proxima_acao";"referencias_auditoria";"dependencias_diretas_abertas"
"11";"2";"Pesquisar compra corporativa de luxo";"Comparar os serviços corporativos de Smythson, Burberry e Tiffany.";"Matriz cita fontes primárias e explica a aplicação ao contexto B2B brasileiro.";"Pesquisa + UX";"P0";"done";"docs/ESTRATEGIA_E_PESQUISA.md";"";"done";"entrega";"Matriz histórica cita Smythson, Burberry e Tiffany e limita a aplicação ao contexto próprio.";"Preservar referências e validar serviço próprio antes de prometer equivalência.";"docs/ESTRATEGIA_E_PESQUISA.md";""
"12";"2";"Pesquisar personalização";"Examinar apresentação de gravação e escolhas de personalização na Montblanc.";"Diretrizes distinguem inspiração de promessa operacional da Promo.";"Pesquisa + UX";"P0";"done";"docs/ESTRATEGIA_E_PESQUISA.md";"";"done";"entrega";"Pesquisa documental de personalização está registrada com limites por produto.";"Nenhuma ação para este critério de pesquisa documental.";"docs/ESTRATEGIA_E_PESQUISA.md";""
"13";"2";"Pesquisar linguagem de produto";"Analisar narrativa de design e produto na Bang & Olufsen.";"Decisões editoriais são apresentadas como interpretação, sem copiar identidade ou conteúdo.";"Pesquisa + UX";"P0";"done";"docs/ESTRATEGIA_E_PESQUISA.md";"";"done";"entrega";"Direção de linguagem de produto está identificada como interpretação criativa.";"Nenhuma ação para este critério de pesquisa documental.";"docs/ESTRATEGIA_E_PESQUISA.md";""
"14";"2";"Pesquisar concorrência brasileira";"Inspecionar navegação, cotação e categorias na Luminati.";"São registrados padrões observáveis e oportunidades de diferenciação sem números de desempenho inventados.";"Pesquisa + UX";"P0";"done";"docs/ESTRATEGIA_E_PESQUISA.md";"";"done";"entrega";"Padrões observados na Luminati estão registrados sem métricas inventadas.";"Nenhuma ação para este critério de pesquisa documental.";"docs/ESTRATEGIA_E_PESQUISA.md";""
"15";"2";"Revisar pesquisa de luxo e usabilidade";"Confrontar recomendações de NN/g sobre luxo, clareza e atendimento.";"Relatório conecta achados a navegação, leitura de conteúdo e contato consultivo.";"Pesquisa + UX";"P0";"done";"docs/ESTRATEGIA_E_PESQUISA.md";"";"done";"entrega";"Referências NN/g estão ligadas a clareza, navegação e atendimento consultivo.";"Nenhuma ação para este critério documental; teste de usuários segue separado.";"docs/ESTRATEGIA_E_PESQUISA.md";""
"16";"2";"Revisar descoberta de produtos";"Aplicar pesquisa Baymard de busca, filtros e listas de produtos.";"Critérios cobrem estado aplicado, zero resultados e informações comparáveis.";"Pesquisa + UX";"P0";"done";"docs/ESTRATEGIA_E_PESQUISA.md";"";"done";"entrega";"Diretrizes de descoberta incluem filtros aplicados, vazio e comparação.";"Validar implementação completa nas etapas 85–90.";"docs/ESTRATEGIA_E_PESQUISA.md";""
"17";"2";"Revisar acessibilidade oficial";"Consultar WCAG 2.2, contraste, foco e tamanho de alvos.";"Requisitos AA são diferenciados da meta interna mais confortável de 44 pixels.";"Pesquisa + UX";"P0";"done";"docs/ESTRATEGIA_E_PESQUISA.md";"";"done";"entrega";"Documento diferencia AA e preferência interna de alvos de 44 pixels.";"Executar auditorias específicas antes de declarar conformidade.";"docs/ESTRATEGIA_E_PESQUISA.md";""
"18";"2";"Revisar desempenho oficial";"Consultar Google Web Vitals e distinguir laboratório de campo.";"Metas LCP ≤2,5 s, INP ≤200 ms e CLS ≤0,1 usam percentil 75 e segmentação.";"Pesquisa + UX";"P0";"done";"docs/ESTRATEGIA_E_PESQUISA.md";"";"done";"entrega";"Metas de Web Vitals distinguem p75 de campo e laboratório.";"Medir campo somente com ambiente e amostra adequados.";"docs/ESTRATEGIA_E_PESQUISA.md";""
"19";"2";"Revisar SEO e segurança de dados";"Consultar Google Search Central e documentação oficial Supabase.";"Estratégia fundamenta URLs, renderização, RLS e projeção mínima de dados.";"Pesquisa + UX";"P0";"done";"docs/ESTRATEGIA_E_PESQUISA.md";"";"done";"entrega";"Pesquisa histórica cita documentação oficial de URLs, renderização e RLS.";"Aplicação e permissões reais continuam sujeitas aos gates próprios.";"docs/ESTRATEGIA_E_PESQUISA.md";""
"20";"2";"Construir matriz de decisões";"Relacionar cada referência a uma decisão, um risco e uma validação.";"Documento contém links, data de acesso e páginas indisponíveis sem fingir inspeção.";"Pesquisa + UX";"P0";"done";"docs/ESTRATEGIA_E_PESQUISA.md";"11, 12, 13, 14, 15, 16, 17, 18, 19";"done";"entrega";"Matriz inclui fontes, data e tentativas sem conteúdo suficiente.";"Nenhuma ação para este critério documental.";"docs/ESTRATEGIA_E_PESQUISA.md";""
"21";"3";"Definir hipótese de posicionamento";"Propor presentes com intenção, curadoria e cuidado como centro do valor.";"Uma frase de posicionamento e limites de promessa estão documentados.";"Estratégia + comercial";"P0";"done";"docs/ESTRATEGIA_E_PESQUISA.md";"20";"done";"entrega";"Posicionamento está explicitamente tratado como hipótese e limita promessas.";"Validar hipótese nas entrevistas e no piloto.";"docs/ESTRATEGIA_E_PESQUISA.md";""
"22";"3";"Definir segmentos prioritários";"Separar RH, marketing, compras, agências e relacionamento executivo.";"Cada segmento tem ocasião, ticket a investigar e contexto de decisão.";"Estratégia + comercial";"P0";"partial";"docs/ESTRATEGIA_E_PESQUISA.md";"21";"pending";"negocio";"Cinco segmentos hipotéticos estão descritos; faltam prioridade e ticket a investigar por segmento.";"Completar contexto, faixa a investigar e prioridade comercial.";"docs/ESTRATEGIA_E_PESQUISA.md";""
"23";"3";"Entrevistar compradores";"Realizar entrevistas sobre compras anteriores, dificuldades e critérios de aprovação.";"Pelo menos seis entrevistas fornecem evidências, sem tratar personas hipotéticas como pesquisa.";"Estratégia + comercial";"P0";"pending";"docs/ESTRATEGIA_E_PESQUISA.md";"22";"pending";"negocio";"Nenhuma das seis entrevistas com compradores foi realizada ou anexada.";"Recrutar compradores e registrar evidências e síntese.";"docs/ESTRATEGIA_E_PESQUISA.md";"22"
"24";"3";"Entrevistar vendedores";"Identificar informações indispensáveis para transformar interesse em proposta.";"Vendedores validam campos, objeções recorrentes e etapas de qualificação.";"Estratégia + comercial";"P0";"pending";"docs/ESTRATEGIA_E_PESQUISA.md";"5";"pending";"negocio";"Campos foram propostos tecnicamente sem validação de vendedores.";"Entrevistar vendedores e aprovar campos e objeções.";"docs/ESTRATEGIA_E_PESQUISA.md";""
"25";"3";"Mapear a jornada atual";"Descrever descoberta, seleção, briefing, orçamento, amostra, aprovação e entrega.";"Mapa identifica pontos de espera, donos e falhas de contexto.";"Estratégia + comercial";"P0";"partial";"docs/ESTRATEGIA_E_PESQUISA.md";"23, 24";"pending";"negocio";"Há jornada recomendada; não há mapa observado da operação com esperas e responsáveis.";"Mapear a jornada atual com compradores e vendedores.";"docs/ESTRATEGIA_E_PESQUISA.md, docs/ARQUITETURA_E_INTEGRACAO.md";"23, 24"
"26";"3";"Priorizar ocasiões";"Avaliar onboarding, reconhecimento, fim de ano, relacionamento e eventos.";"Prioridade é aprovada usando demanda comercial e disponibilidade reais.";"Estratégia + comercial";"P0";"partial";"src/components/Storefront.tsx";"25";"pending";"negocio";"Ocasiões aparecem no formulário, sem priorização por demanda e capacidade.";"Aprovar prioridade usando dados comerciais e disponibilidade.";"src/components/Storefront.tsx, docs/ESTRATEGIA_E_PESQUISA.md";"25"
"27";"3";"Definir oferta de entrada";"Selecionar um escopo inicial de produtos e serviços que a operação pode cumprir.";"Critérios de inclusão excluem itens sem informações, imagem ou condições confiáveis.";"Estratégia + comercial";"P0";"partial";"src/lib/products.json";"26";"pending";"negocio";"Oito peças formam uma amostra, sem oferta inicial homologada pela operação.";"Validar escopo de produtos e serviços entregáveis e exclusões.";"src/lib/products.json, docs/ESTRATEGIA_E_PESQUISA.md";"26"
"28";"3";"Definir métricas de negócio";"Estabelecer briefing qualificado, proposta emitida e receita como resultados do funil.";"Cada KPI tem fórmula, fonte, janela, responsável e baseline ainda a medir.";"Estratégia + comercial";"P0";"partial";"docs/ESTRATEGIA_E_PESQUISA.md";"25";"pending";"negocio";"KPIs e fórmulas estão propostos; faltam fontes operacionais, janelas e donos.";"Definir medição, responsáveis e baseline para cada KPI.";"docs/ESTRATEGIA_E_PESQUISA.md";"25"
"29";"3";"Priorizar hipóteses de conversão";"Listar hipóteses de impacto para busca, preço e atendimento consultivo.";"Backlog separa evidência de opinião e inclui método de avaliação.";"Estratégia + comercial";"P0";"partial";"docs/ESTRATEGIA_E_PESQUISA.md";"28";"pending";"negocio";"Existem recomendações de conversão, sem backlog de hipóteses priorizado e método por item.";"Formalizar hipóteses com evidência, impacto esperado e método de avaliação.";"docs/ESTRATEGIA_E_PESQUISA.md";"28"
"30";"3";"Validar o escopo do MVP";"Alinhar funcionalidades do primeiro lançamento com operação e capacidade.";"PO e comercial aprovam uma lista de entrada e saída do MVP.";"Estratégia + comercial";"P0";"partial";"docs/ESTRATEGIA_E_PESQUISA.md";"27, 29";"pending";"negocio";"MVP consultivo é recomendado, mas não há aceite documentado de PO e comercial.";"Aprovar escopo de entrada e saída e responsáveis.";"docs/ESTRATEGIA_E_PESQUISA.md, README.md";"27, 29"
"31";"4";"Propor a assinatura premium";"Criar aplicação de Promo Brindes com assinatura Premium Collection.";"Marca conceitual mantém o nome existente e não pressupõe registro ou aprovação final.";"Direção de arte + conteúdo";"P0";"done";"src/components/Storefront.tsx";"21";"done";"entrega";"Assinatura Premium Collection é aplicada como conceito de marca.";"Nenhuma ação para a assinatura conceitual.";"src/components/Storefront.tsx, docs/DESIGN_SYSTEM.md";""
"32";"4";"Definir paleta semântica";"Especificar obsidiana, champanhe, marfim e superfícies auxiliares.";"Tokens CSS têm função definida e pares de contraste verificáveis.";"Direção de arte + conteúdo";"P0";"done";"src/app/globals.css";"31";"done";"entrega";"Cores centrais e funções visuais estão definidas em CSS e guia.";"Auditoria completa de contraste permanece na etapa 172.";"src/app/globals.css, docs/DESIGN_SYSTEM.md";""
"33";"4";"Definir sistema tipográfico";"Combinar Cormorant Garamond em títulos e Manrope em interface.";"Fontes são locais e pesos usados estão documentados.";"Direção de arte + conteúdo";"P0";"done";"src/app/layout.tsx";"31";"done";"entrega";"Famílias e seis imports de pesos/estilo locais estão definidos.";"Nenhuma ação para este critério de sistema tipográfico.";"src/app/layout.tsx, docs/DESIGN_SYSTEM.md";""
"34";"4";"Definir voz editorial";"Escrever tom, vocabulário, mensagens de ação e expressões proibidas.";"Guia privilegia clareza e evita superlativos, urgência e certificações sem evidência.";"Direção de arte + conteúdo";"P0";"done";"docs/DESIGN_SYSTEM.md";"21";"done";"entrega";"Guia documenta voz, CTAs, limites e alegações a evitar.";"Submeter voz final à validação de marca.";"docs/DESIGN_SYSTEM.md";""
"35";"4";"Definir gramática fotográfica";"Especificar iluminação, materiais, enquadramento e fundo por tipo de imagem.";"Brief separa fotografia de produto e composição conceitual de campanha.";"Direção de arte + conteúdo";"P0";"done";"docs/DESIGN_SYSTEM.md";"11";"done";"entrega";"Brief diferencia fotos fiéis ao SKU de composições conceituais.";"Nenhuma ação para este critério de direção fotográfica.";"docs/DESIGN_SYSTEM.md";""
"36";"4";"Criar imagem conceitual principal";"Gerar composição exclusiva de caixa preta e presentes com detalhes champanhe.";"Arquivo e prompt são preservados e a imagem não é atribuída a um SKU real.";"Direção de arte + conteúdo";"P0";"done";"public/images/hero-gifting.webp";"35";"done";"entrega";"Hero WebP e prompt existem; interface identifica composição conceitual.";"Manter identificação ao reutilizar a imagem.";"public/images/hero-gifting.webp, docs/DESIGN_SYSTEM.md";""
"37";"4";"Definir direção para embalagens";"Desenhar opções de apresentação sujeitas a fornecedor e aprovação operacional.";"Moodboard identifica acabamentos sugeridos e os ainda não disponíveis.";"Direção de arte + conteúdo";"P0";"partial";"docs/DESIGN_SYSTEM.md";"35";"pending";"negocio";"Há referência conceitual de caixa e acabamentos, sem moodboard de opções disponíveis.";"Produzir opções e validar materiais e disponibilidade com fornecedores.";"docs/DESIGN_SYSTEM.md";""
"38";"4";"Definir ícones e ornamentação";"Estabelecer família de ícones, espessura e uso limitado de detalhes decorativos.";"Interface utiliza uma família coerente com nomes acessíveis nos controles.";"Direção de arte + conteúdo";"P0";"done";"src/components/Storefront.tsx";"31";"done";"entrega";"Interface usa Lucide com nomes acessíveis nos controles examinados.";"Nenhuma ação para a família de ícones desta prévia.";"src/components/Storefront.tsx";""
"39";"4";"Validar identidade com público";"Comparar duas direções com compradores do público prioritário.";"Resultado registra percepção, confiança e compreensão sem perguntar só preferência estética.";"Direção de arte + conteúdo";"P0";"pending";"docs/ESTRATEGIA_E_PESQUISA.md";"31, 32, 33, 35";"pending";"validacao";"Não há comparação de duas direções com compradores.";"Executar avaliação de compreensão, confiança e percepção.";"docs/ESTRATEGIA_E_PESQUISA.md";""
"40";"4";"Fechar guia de marca digital";"Documentar componentes, fotografia, voz e exemplos aprovados.";"Guia passa pela marca e pelo comercial antes de aplicação definitiva.";"Direção de arte + conteúdo";"P0";"partial";"docs/DESIGN_SYSTEM.md";"39";"pending";"negocio";"Guia conceitual existe; aprovação de marca e comercial não está registrada.";"Consolidar exemplos aprovados após a etapa 39.";"docs/DESIGN_SYSTEM.md";"39"
"41";"5";"Criar critérios da seleção premium";"Definir valor percebido, utilidade, acabamento e viabilidade como critérios.";"Cada produto candidato recebe justificativa e status de validação comercial.";"Conteúdo + dados + comercial";"P0";"partial";"docs/ESTRATEGIA_E_PESQUISA.md";"27";"pending";"negocio";"Valor percebido e utilidade são diretrizes gerais; faltam fichas de avaliação por candidato.";"Pontuar cada produto e registrar validação comercial.";"docs/ESTRATEGIA_E_PESQUISA.md, src/lib/products.json";"27"
"42";"5";"Selecionar peças iniciais reais";"Usar produtos identificáveis do catálogo para a prévia.";"Oito produtos preservam IDs, SKUs e nomes técnicos de origem.";"Conteúdo + dados + comercial";"P0";"done";"src/lib/products.json";"7";"done";"entrega";"Oito IDs, SKUs e nomes originais estão preservados e sincronizados.";"Nenhuma ação para a seleção da amostra.";"src/lib/products.json, docs/audit/plan-database-check.json";""
"43";"5";"Revisar materiais por SKU";"Comparar materiais estruturados com descrição e ficha do fornecedor.";"Conflitos de couro, PET, plástico ou capacidade ficam resolvidos antes de publicação.";"Conteúdo + dados + comercial";"P0";"partial";"docs/AUDITORIA_PROJETO_INTERNO.md";"42";"pending";"negocio";"Conflitos de materiais foram identificados; descrições ainda dependem de confirmação.";"Resolver divergências com ficha e fornecedor por SKU.";"docs/AUDITORIA_PROJETO_INTERNO.md, src/lib/products.json";""
"44";"5";"Revisar capacidades e dimensões";"Uniformizar ml, litros, centímetros e peso sem inventar especificações.";"Produto, variante e imagem exibem a mesma capacidade e versão.";"Conteúdo + dados + comercial";"P0";"partial";"src/lib/products.json";"42";"pending";"negocio";"Capacidades constam de textos de origem; não existe homologação de dimensões e variantes.";"Normalizar unidades e confirmar versão de cada peça.";"src/lib/products.json, docs/AUDITORIA_PROJETO_INTERNO.md";""
"45";"5";"Definir quantidades mínimas reais";"Distinguir mínimo comercial, embalagem múltipla e mínimo de personalização.";"Contrato explicita cada restrição e o front valida combinações corretamente.";"Conteúdo + dados + comercial";"P0";"partial";"src/lib/catalog.ts";"42, 24";"pending";"misto";"Mínimo cadastrado é aplicado na UI; mínimos de gravação, embalagem e múltiplos não são modelados.";"Confirmar regras e implementar restrições combinadas.";"src/lib/catalog.ts, src/components/Storefront.tsx";"24"
"46";"5";"Revalidar preços e faixas";"Conferir venda, quantidade, gravação, impostos, validade e frete.";"Toda oferta pública informa sua base; preço sem contexto permanece sob consulta.";"Conteúdo + dados + comercial";"P0";"partial";"src/components/Storefront.tsx";"42, 24";"pending";"negocio";"A UI mantém valores sob consulta, mas não existe tabela de faixas e condições aprovada.";"Validar composição, quantidade, impostos, frete e validade.";"src/components/Storefront.tsx, src/app/produtos/[slug]/page.tsx";"24"
"47";"5";"Verificar mídia por amostragem";"Testar URLs principais e alternativas das peças escolhidas.";"403 das imagens principais e sucesso das alternativas ficam registrados sem generalizar ao catálogo inteiro.";"Conteúdo + dados + comercial";"P0";"done";"docs/audit/media-check.json";"7";"done";"entrega";"Amostra registra falha de mídia principal e alternativas disponíveis.";"Nenhuma ação para a verificação histórica por amostragem.";"docs/audit/media-check.json";""
"48";"5";"Preparar ativos para a prévia";"Obter fotos reais pela alternativa já cadastrada e otimizar cópias locais.";"Oito imagens locais carregam e correspondem aos respectivos SKUs.";"Conteúdo + dados + comercial";"P0";"done";"public/images/";"47";"done";"entrega";"Oito fotos locais otimizadas estão presentes e carregam nos testes.";"Licenciamento comercial continua pendente na etapa 49.";"public/images/, docs/audit/responsive-check.json";""
"49";"5";"Obter direitos de publicação";"Validar autorização de uso das fotos, marcas de terceiros e evidências de sustentabilidade.";"Registro de licenças e comprovações acompanha os ativos do lançamento.";"Conteúdo + dados + comercial";"P0";"pending";"docs/DESIGN_SYSTEM.md";"48";"pending";"negocio";"Não há registro de licenças de fotos, marcas ou comprovações de sustentabilidade.";"Obter e anexar direitos e comprovações por ativo.";"docs/DESIGN_SYSTEM.md";""
"50";"5";"Definir manutenção editorial";"Atribuir responsável por dados, imagens e expiração de coleções.";"SLA interno e processo de retirada de conteúdo incorreto estão acordados.";"Conteúdo + dados + comercial";"P0";"pending";"docs/ARQUITETURA_E_INTEGRACAO.md";"43, 44, 45, 46, 49";"pending";"negocio";"Não há responsável editorial nomeado nem SLA acordado de retirada.";"Designar responsáveis e aprovar revisão e retirada.";"docs/ARQUITETURA_E_INTEGRACAO.md";"43, 44, 45, 46, 49"
"51";"6";"Projetar sitemap público";"Mapear início, coleções, produtos, projeto, conteúdo e páginas institucionais.";"Sitemap diferencia rotas MVP, futuras e privadas.";"UX + conteúdo";"P0";"done";"docs/ARQUITETURA_INFORMACAO_E_FLUXOS.md";"30";"pending";"entrega";"Mapa documenta rotas da prévia, futuras, estados locais e planejamento interno.";"Revisar mapa após aprovação do escopo comercial.";"docs/ARQUITETURA_INFORMACAO_E_FLUXOS.md";"30"
"52";"6";"Definir nomes de navegação";"Usar rótulos compreensíveis para compradores, com linguagem premium nos conteúdos.";"Tree test confirma que usuários encontram categoria e pedido de orçamento.";"UX + conteúdo";"P0";"partial";"docs/ARQUITETURA_INFORMACAO_E_FLUXOS.md";"51";"pending";"validacao";"Rótulos de navegação existem, sem tree test com compradores.";"Testar localização de categoria e orçamento.";"docs/ARQUITETURA_INFORMACAO_E_FLUXOS.md, src/components/Storefront.tsx";""
"53";"6";"Definir taxonomia de ocasiões";"Relacionar cada ocasião a coleções e produtos elegíveis.";"Uma ocasião não duplica o cadastro do produto nem altera seu SKU.";"UX + conteúdo";"P0";"partial";"src/components/Storefront.tsx";"26";"pending";"misto";"Ocasiões são opções do briefing; relação de elegibilidade com produtos não existe.";"Definir taxonomia e vínculos estáveis sem duplicar SKU.";"src/components/Storefront.tsx, docs/ARQUITETURA_INFORMACAO_E_FLUXOS.md";"26"
"54";"6";"Definir jornada sem cadastro";"Permitir explorar, favoritar e iniciar briefing antes de autenticação.";"Roteiro de teste chega ao briefing sem conta obrigatória.";"UX + conteúdo";"P0";"done";"tests/storefront.spec.ts";"51";"pending";"entrega";"Navegação, favoritos e briefing funcionam sem autenticação nos E2E.";"Nenhuma ação para a jornada sem conta da prévia.";"tests/storefront.spec.ts, docs/ARQUITETURA_INFORMACAO_E_FLUXOS.md";""
"55";"6";"Definir fluxo de seleção";"Separar lista de interesse de pedido confirmado e reserva de estoque.";"Textos e estados deixam clara a natureza consultiva de cada etapa.";"UX + conteúdo";"P0";"done";"src/components/Storefront.tsx";"54";"pending";"entrega";"Textos separam seleção, intenção, proposta e reserva de estoque.";"Manter distinção ao ativar a integração comercial.";"src/components/Storefront.tsx, tests/storefront.spec.ts";""
"56";"6";"Definir jornada de retorno";"Desenhar retomada de seleção, validade e dados que podem ser persistidos.";"Política cobre dispositivo compartilhado, expiração e limpeza da seleção.";"UX + conteúdo";"P0";"done";"src/components/ProductDetailActions.tsx";"55";"pending";"tecnica";"Home e ficha permanente usam o mesmo envelope com savedAt; a validade e a limpeza preservam apenas IDs e quantidades.";"Manter o teste de expiração entre rotas ao alterar o armazenamento local.";"src/components/ProductDetailActions.tsx, src/lib/catalog.ts, docs/audit/plan-browser-scenarios.json";""
"57";"6";"Definir jornada móvel";"Priorizar busca, seleção e briefing em telas pequenas.";"Protótipo cobre 360 pixels e teclado virtual sem perder ações principais.";"UX + conteúdo";"P0";"partial";"tests/storefront.spec.ts";"54";"pending";"validacao";"A jornada móvel automatizada passou em Chromium, Firefox e WebKit; teclado virtual real não foi exercitado.";"Validar preenchimento e ações com teclado virtual em aparelhos reais.";"tests/storefront.spec.ts, docs/audit/responsive-check.json";""
"58";"6";"Definir estados excepcionais";"Mapear vazio, erro, offline, SKU removido e conteúdo expirado.";"Cada estado tem mensagem útil e caminho de recuperação.";"UX + conteúdo";"P0";"partial";"docs/ARQUITETURA_INFORMACAO_E_FLUXOS.md";"54";"pending";"tecnica";"Vazio, armazenamento inválido, indisponibilidade da API, offline e SKU removido têm mensagem e recuperação sem perder a seleção; expiração de conteúdo canônico ainda não está completa.";"Definir e testar expiração da curadoria publicada.";"docs/ARQUITETURA_INFORMACAO_E_FLUXOS.md, src/components/Storefront.tsx, src/lib/site-database.ts, tests/storefront.spec.ts";""
"59";"6";"Validar arquitetura com compradores";"Aplicar teste de árvore ou tarefas de localização no sitemap.";"Resultados documentam sucesso por tarefa e mudanças necessárias.";"UX + conteúdo";"P0";"pending";"docs/ARQUITETURA_INFORMACAO_E_FLUXOS.md";"52, 53";"pending";"validacao";"Não há teste de árvore ou localização com compradores.";"Executar tarefas e registrar taxa de sucesso e alterações.";"docs/ARQUITETURA_INFORMACAO_E_FLUXOS.md";"52, 53"
"60";"6";"Documentar fluxos aprovados";"Produzir wireflows que liguem ações públicas ao atendimento comercial.";"Cada transição tem entrada, saída, erro e responsável.";"UX + conteúdo";"P0";"partial";"docs/ARQUITETURA_INFORMACAO_E_FLUXOS.md";"59";"pending";"negocio";"Fluxos da prévia estão escritos; faltam wireflows aprovados com dono e erro por transição.";"Completar fluxos integrados e aprová-los com comercial.";"docs/ARQUITETURA_INFORMACAO_E_FLUXOS.md, docs/ARQUITETURA_E_INTEGRACAO.md";"59"
"61";"7";"Implementar tokens de interface";"Codificar cores, tipografia, espaçamento, bordas e superfícies.";"Tokens usados na prévia estão centralizados e nomeados por função.";"Design de produto + frontend";"P0";"partial";"src/app/globals.css";"32, 33";"done";"tecnica";"Cores e fontes usam variáveis; espaçamento, bordas e raios permanecem majoritariamente literais.";"Completar tokens semânticos e aplicar nos componentes.";"src/app/globals.css, docs/DESIGN_SYSTEM.md";""
